date,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Limburg_Süd.in,Limburg_Süd.out,Montabaur.in,Montabaur.out,Siegburg/Bonn.in,Siegburg/Bonn.out,Köln_Messe/Deutz_Gl.11-12.in,Köln_Messe/Deutz_Gl.11-12.out
2024-05-30,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-29,-1.0,0.0,0.0,0.0,0.0,55.0,54.0,54.0,112.0,113.0,114.0,-1.0
2024-05-28,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.0
2024-05-27,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0
2024-05-26,-1.0,1.0,3.0,4.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,-1.0
2024-05-25,-1.0,0.0,2.0,6.0,34.0,34.0,33.0,33.0,30.0,30.0,29.0,-1.0
2024-05-24,-1.0,0.0,1.0,2.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,-1.0
2024-05-23,-1.0,1.0,-1.0,0.0,3.0,3.0,2.0,3.0,1.0,2.0,2.0,-1.0
2024-05-22,-1.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,-1.0
2024-05-21,-1.0,0.0,0.0,22.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,90.0,-1.0
2024-05-20,-1.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-19,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0
2024-05-18,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-17,-1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,-1.0
2024-05-16,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-15,-1.0,5.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,-1.0
2024-05-13,-1.0,0.0,0.0,1.0,2.0,3.0,1.0,1.0,0.0,0.0,1.0,-1.0
