date,München_Hbf.in,München_Hbf.out,München-Pasing.in,München-Pasing.out,Augsburg_Hbf.in,Augsburg_Hbf.out,Günzburg.in,Günzburg.out,Ulm_Hbf.in,Ulm_Hbf.out,Esslingen(Neckar).in,Esslingen(Neckar).out,Stuttgart_Hbf.in,Stuttgart_Hbf.out,Mannheim_Hbf.in,Mannheim_Hbf.out,Heidelberg_Hbf.in,Heidelberg_Hbf.out,Weinheim(Bergstr)Hbf.in,Weinheim(Bergstr)Hbf.out,Bensheim.in,Bensheim.out,Darmstadt_Hbf.in,Darmstadt_Hbf.out,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out
2024-05-20,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-18,-1.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,6.0,6.0,6.0,7.0,8.0,8.0,6.0,5.0,7.0,-1.0
2024-05-17,-1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,14.0,15.0,19.0,19.0,0.0,0.0,21.0,21.0,22.0,-1.0
2024-05-16,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,2.0,2.0,1.0,8.0,-1.0
2024-05-15,-1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,2.0,0.0,-1.0
2024-05-13,-1.0,0.0,-1.0,1.0,4.0,5.0,4.0,4.0,7.0,8.0,0.0,0.0,8.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-05-12,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-11,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-10,-1.0,0.0,-1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,21.0,21.0,18.0,18.0,20.0,-1.0
2024-05-09,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,3.0,0.0,0.0,1.0,-1.0
2024-05-08,-1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,3.0,2.0,5.0,-1.0
2024-05-07,-1.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,6.0,5.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,5.0,5.0,6.0,6.0,3.0,3.0,9.0,-1.0
2024-05-06,-1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,4.0,3.0,4.0,4.0,2.0,0.0,5.0,-1.0
2024-05-05,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-04,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,-1.0
2024-05-03,-1.0,0.0,0.0,0.0,2.0,3.0,1.0,1.0,3.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,3.0,0.0,0.0,3.0,-1.0
2024-05-02,-1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,4.0,4.0,3.0,6.0,-1.0
2024-05-01,-1.0,7.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0
2024-04-30,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,-1.0
2024-04-29,-1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,10.0,11.0,11.0,10.0,-1.0
2024-04-28,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-27,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-1.0
2024-04-26,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
2024-04-25,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,-1.0
2024-04-24,-1.0,1.0,1.0,1.0,2.0,2.0,4.0,3.0,3.0,3.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,-1.0
2024-04-23,-1.0,0.0,1.0,0.0,2.0,2.0,5.0,4.0,4.0,4.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.0
2024-04-22,-1.0,3.0,-1.0,2.0,9.0,9.0,7.0,7.0,9.0,8.0,0.0,0.0,15.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-1.0
2024-04-21,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-19,-1.0,0.0,0.0,0.0,15.0,15.0,15.0,14.0,15.0,14.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,19.0,19.0,19.0,19.0,17.0,17.0,20.0,-1.0
2024-04-18,-1.0,0.0,-1.0,0.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,3.0,4.0,4.0,3.0,2.0,4.0,-1.0
2024-04-17,-1.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,2.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,3.0,4.0,4.0,4.0,7.0,6.0,-1.0
2024-04-16,-1.0,2.0,2.0,2.0,4.0,4.0,3.0,2.0,1.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,11.0,12.0,13.0,13.0,13.0,12.0,16.0,-1.0
2024-04-15,-1.0,1.0,0.0,0.0,10.0,11.0,21.0,20.0,19.0,19.0,0.0,0.0,23.0,22.0,0.0,0.0,0.0,0.0,25.0,25.0,-1.0,-1.0,29.0,28.0,30.0,-1.0
2024-04-14,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
2024-04-13,-1.0,0.0,0.0,1.0,6.0,6.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-1.0
2024-04-12,-1.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,7.0,7.0,7.0,6.0,6.0,-1.0
2024-04-11,-1.0,1.0,-1.0,1.0,5.0,5.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,10.0,9.0,10.0,9.0,7.0,7.0,6.0,-1.0
2024-04-10,-1.0,1.0,0.0,0.0,6.0,7.0,4.0,3.0,1.0,1.0,0.0,0.0,5.0,4.0,0.0,0.0,4.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.0,-1.0
2024-04-09,-1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,11.0,11.0,13.0,13.0,11.0,11.0,11.0,-1.0
2024-04-08,-1.0,20.0,-1.0,-1.0,22.0,23.0,23.0,22.0,21.0,20.0,0.0,0.0,7.0,10.0,0.0,0.0,0.0,0.0,16.0,15.0,15.0,15.0,13.0,12.0,15.0,-1.0
2024-04-07,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-06,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,4.0,-1.0
2024-04-05,-1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,-1.0
2024-04-04,-1.0,1.0,-1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,-1.0
2024-04-03,-1.0,1.0,1.0,1.0,4.0,5.0,3.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-1.0
2024-04-02,-1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,3.0,1.0,1.0,3.0,-1.0
2024-04-01,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
