date,Berlin_Ostbahnhof.in,Berlin_Ostbahnhof.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Wolfsburg_Hbf.in,Wolfsburg_Hbf.out,Hannover_Hbf.in,Hannover_Hbf.out,Minden(Westf).in,Minden(Westf).out,Bielefeld_Hbf.in,Bielefeld_Hbf.out,Hamm(Westf)Hbf.in,Hamm(Westf)Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out,Bochum_Hbf.in,Bochum_Hbf.out,Essen_Hbf.in,Essen_Hbf.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Düsseldorf_Flughafen.in,Düsseldorf_Flughafen.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out
2024-05-10,-1.0,1.0,1.0,5.0,3.0,3.0,35.0,35.0,11.0,12.0,80.0,80.0,8.0,9.0,90.0,91.0,85.0,85.0,84.0,84.0,83.0,87.0,92.0,93.0,92.0,92.0,96.0,-1.0
2024-05-09,-1.0,5.0,-1.0,7.0,3.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,4.0,2.0,2.0,1.0,1.0,0.0,1.0,4.0,4.0,8.0,6.0,7.0,-1.0
2024-05-08,-1.0,1.0,1.0,5.0,0.0,2.0,5.0,7.0,3.0,4.0,3.0,4.0,4.0,5.0,43.0,43.0,42.0,42.0,47.0,47.0,47.0,47.0,49.0,50.0,53.0,53.0,55.0,-1.0
2024-05-07,-1.0,1.0,-1.0,2.0,0.0,1.0,3.0,4.0,1.0,2.0,10.0,9.0,7.0,7.0,11.0,13.0,12.0,13.0,13.0,13.0,12.0,13.0,13.0,13.0,21.0,21.0,20.0,-1.0
2024-05-06,-1.0,3.0,2.0,1.0,1.0,1.0,7.0,8.0,8.0,7.0,2.0,1.0,2.0,3.0,2.0,4.0,11.0,11.0,11.0,11.0,10.0,10.0,11.0,12.0,17.0,17.0,19.0,-1.0
2024-05-05,-1.0,2.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,5.0,6.0,7.0,4.0,4.0,3.0,3.0,1.0,1.0,1.0,1.0,4.0,-1.0,-1.0,-1.0
2024-05-04,-1.0,1.0,-1.0,3.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,2.0,11.0,12.0,6.0,7.0,6.0,6.0,4.0,5.0,5.0,5.0,9.0,9.0,8.0,-1.0
2024-05-03,-1.0,6.0,-1.0,4.0,8.0,9.0,6.0,22.0,18.0,17.0,20.0,20.0,21.0,22.0,23.0,25.0,21.0,23.0,22.0,22.0,21.0,22.0,22.0,23.0,26.0,26.0,25.0,-1.0
2024-05-02,-1.0,1.0,2.0,1.0,0.0,1.0,31.0,32.0,31.0,33.0,31.0,31.0,32.0,33.0,36.0,38.0,38.0,40.0,40.0,40.0,40.0,40.0,42.0,43.0,47.0,47.0,48.0,-1.0
2024-05-01,-1.0,21.0,-1.0,1.0,10.0,27.0,23.0,23.0,1.0,1.0,16.0,15.0,19.0,21.0,25.0,27.0,30.0,30.0,30.0,30.0,28.0,28.0,28.0,28.0,31.0,31.0,29.0,-1.0
2024-04-30,-1.0,1.0,-1.0,1.0,1.0,0.0,3.0,4.0,5.0,12.0,19.0,18.0,2.0,3.0,24.0,26.0,25.0,25.0,28.0,28.0,29.0,31.0,32.0,31.0,35.0,35.0,36.0,-1.0
2024-04-29,-1.0,2.0,2.0,1.0,0.0,2.0,7.0,8.0,4.0,4.0,4.0,3.0,1.0,1.0,3.0,4.0,0.0,3.0,4.0,4.0,6.0,7.0,8.0,8.0,9.0,7.0,9.0,-1.0
2024-04-28,-1.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,4.0,2.0,2.0,1.0,1.0,0.0,2.0,3.0,3.0,13.0,13.0,15.0,16.0,18.0,18.0,19.0,18.0,18.0,-1.0
2024-04-27,-1.0,1.0,1.0,3.0,3.0,4.0,0.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0,3.0,5.0,0.0,1.0,3.0,3.0,3.0,4.0,5.0,6.0,6.0,5.0,5.0,-1.0
2024-04-26,-1.0,2.0,2.0,4.0,2.0,2.0,0.0,0.0,0.0,1.0,3.0,4.0,3.0,2.0,2.0,4.0,32.0,32.0,-1.0,-1.0,34.0,34.0,37.0,37.0,41.0,41.0,41.0,-1.0
2024-04-25,-1.0,4.0,-1.0,10.0,13.0,14.0,0.0,1.0,4.0,21.0,53.0,52.0,55.0,56.0,63.0,65.0,63.0,64.0,65.0,65.0,64.0,64.0,65.0,68.0,-1.0,-1.0,68.0,-1.0
2024-04-23,-1.0,1.0,-1.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,5.0,10.0,17.0,17.0,19.0,19.0,22.0,22.0,21.0,-1.0
2024-04-22,-1.0,9.0,-1.0,1.0,-1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,3.0,3.0,5.0,5.0,6.0,7.0,10.0,10.0,11.0,-1.0
2024-04-21,-1.0,3.0,-1.0,7.0,8.0,7.0,8.0,8.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,7.0,1.0,2.0,4.0,4.0,5.0,5.0,6.0,6.0,9.0,9.0,10.0,-1.0
2024-04-20,-1.0,3.0,-1.0,23.0,22.0,22.0,1.0,2.0,23.0,23.0,5.0,5.0,20.0,20.0,9.0,10.0,6.0,7.0,7.0,7.0,7.0,7.0,9.0,9.0,12.0,12.0,11.0,-1.0
2024-04-19,-1.0,8.0,-1.0,7.0,6.0,6.0,5.0,6.0,4.0,4.0,2.0,2.0,2.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,5.0,5.0,8.0,8.0,7.0,-1.0
2024-04-18,-1.0,0.0,-1.0,2.0,-1.0,3.0,11.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-17,-1.0,11.0,-1.0,2.0,-1.0,1.0,7.0,8.0,9.0,12.0,12.0,12.0,18.0,19.0,27.0,27.0,23.0,23.0,26.0,27.0,31.0,31.0,33.0,34.0,38.0,38.0,38.0,-1.0
2024-04-16,-1.0,19.0,-1.0,3.0,15.0,17.0,12.0,12.0,7.0,6.0,6.0,6.0,9.0,9.0,12.0,13.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0,12.0,15.0,14.0,16.0,-1.0
2024-04-15,-1.0,6.0,-1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,1.0,3.0,3.0,4.0,5.0,9.0,9.0,8.0,-1.0
2024-04-14,-1.0,0.0,-1.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,5.0,5.0,4.0,-1.0
2024-04-13,-1.0,4.0,-1.0,5.0,2.0,2.0,1.0,2.0,1.0,2.0,18.0,18.0,17.0,19.0,19.0,22.0,18.0,18.0,19.0,19.0,19.0,19.0,23.0,24.0,28.0,28.0,28.0,-1.0
2024-04-12,-1.0,5.0,-1.0,2.0,1.0,1.0,0.0,1.0,4.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,5.0,5.0,6.0,9.0,9.0,9.0,8.0,-1.0
2024-04-10,-1.0,0.0,-1.0,4.0,2.0,1.0,0.0,3.0,17.0,16.0,11.0,11.0,23.0,23.0,11.0,12.0,7.0,8.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,-1.0
2024-04-09,-1.0,12.0,-1.0,2.0,0.0,1.0,6.0,6.0,0.0,0.0,1.0,2.0,2.0,3.0,4.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,2.0,1.0,-1.0
2024-04-08,-1.0,13.0,-1.0,1.0,0.0,0.0,5.0,5.0,1.0,2.0,7.0,6.0,8.0,8.0,5.0,9.0,4.0,5.0,6.0,6.0,21.0,21.0,16.0,17.0,17.0,18.0,17.0,-1.0
2024-04-07,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-06,-1.0,1.0,-1.0,5.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-05,-1.0,2.0,-1.0,5.0,2.0,2.0,1.0,1.0,0.0,0.0,82.0,82.0,82.0,83.0,87.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-04,-1.0,1.0,-1.0,7.0,3.0,3.0,9.0,9.0,3.0,2.0,3.0,2.0,20.0,20.0,16.0,18.0,14.0,14.0,15.0,15.0,14.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-03,-1.0,1.0,-1.0,6.0,2.0,3.0,6.0,7.0,4.0,3.0,7.0,6.0,6.0,8.0,25.0,26.0,23.0,24.0,23.0,23.0,22.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-02,-1.0,0.0,-1.0,2.0,0.0,0.0,5.0,6.0,2.0,2.0,3.0,4.0,2.0,2.0,9.0,10.0,4.0,4.0,5.0,5.0,3.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,-1.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,20.0,19.0,38.0,37.0,41.0,42.0,49.0,51.0,47.0,47.0,46.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
