date,Hamburg_Hbf.in,Hamburg_Hbf.out,Ludwigslust.in,Ludwigslust.out,Schwerin_Hbf.in,Schwerin_Hbf.out,Bützow.in,Bützow.out,Rostock_Hbf.in,Rostock_Hbf.out,Ribnitz-Damgarten_West.in,Ribnitz-Damgarten_West.out,Velgast.in,Velgast.out,Stralsund_Hbf.in,Stralsund_Hbf.out,Greifswald.in,Greifswald.out
2024-05-30,-1.0,14.0,0.0,0.0,19.0,19.0,22.0,21.0,24.0,22.0,25.0,24.0,22.0,23.0,22.0,22.0,24.0,-1.0
2024-05-29,-1.0,5.0,0.0,0.0,3.0,4.0,0.0,1.0,4.0,2.0,8.0,7.0,8.0,7.0,6.0,6.0,7.0,-1.0
2024-05-28,-1.0,2.0,6.0,1.0,1.0,2.0,1.0,1.0,3.0,4.0,4.0,5.0,2.0,2.0,2.0,2.0,3.0,-1.0
2024-05-27,-1.0,17.0,25.0,4.0,12.0,14.0,13.0,12.0,17.0,15.0,24.0,18.0,15.0,15.0,17.0,18.0,18.0,-1.0
2024-05-26,-1.0,64.0,68.0,55.0,59.0,59.0,59.0,58.0,62.0,58.0,59.0,53.0,52.0,52.0,51.0,-1.0,-1.0,-1.0
2024-05-25,-1.0,10.0,21.0,3.0,3.0,4.0,2.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0
2024-05-24,-1.0,3.0,-1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,5.0,-1.0
2024-05-23,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0,3.0,2.0,0.0,3.0,1.0,1.0,4.0,-1.0
2024-05-22,-1.0,20.0,0.0,0.0,25.0,26.0,20.0,18.0,23.0,21.0,25.0,23.0,22.0,22.0,19.0,18.0,17.0,-1.0
2024-05-21,-1.0,3.0,0.0,0.0,4.0,5.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,2.0,-1.0
2024-05-20,-1.0,0.0,0.0,0.0,0.0,2.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
2024-05-19,-1.0,1.0,0.0,0.0,2.0,3.0,0.0,1.0,0.0,1.0,3.0,2.0,1.0,3.0,3.0,-1.0,0.0,0.0
2024-05-17,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-16,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-15,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-14,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-13,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-12,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-11,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
2024-05-10,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-09,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-08,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-07,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-06,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-05,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-04,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
2024-05-03,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-02,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-01,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-30,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-29,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,-1.0
2024-04-28,-1.0,17.0,0.0,0.0,14.0,14.0,13.0,12.0,9.0,6.0,9.0,7.0,5.0,6.0,5.0,5.0,5.0,-1.0
