date,Eisenach.in,Eisenach.out,Gotha.in,Gotha.out,Erfurt_Hbf.in,Erfurt_Hbf.out,Leipzig_Hbf.in,Leipzig_Hbf.out,Lutherstadt_Wittenberg_Hbf.in,Lutherstadt_Wittenberg_Hbf.out,Berlin_Südkreuz.in,Berlin_Südkreuz.out,Berlin_Hbf.in,Berlin_Hbf.out,Ludwigslust.in,Ludwigslust.out,Berlin-Spandau.in,Berlin-Spandau.out,Hamburg_Hbf.in,Hamburg_Hbf.out,Hamburg_Dammtor.in,Hamburg_Dammtor.out,Hamburg-Altona.in,Hamburg-Altona.out
2024-04-13,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,5.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,-1.0
2024-04-12,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,3.0,4.0,3.0,3.0,-1.0
2024-04-11,-1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,0.0,0.0,3.0,3.0,8.0,8.0,8.0,8.0,8.0,-1.0
2024-04-09,-1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,3.0,2.0,1.0,0.0,0.0,1.0,1.0,6.0,5.0,10.0,9.0,9.0,-1.0
2024-04-08,-1.0,1.0,0.0,7.0,6.0,7.0,11.0,10.0,13.0,13.0,8.0,9.0,9.0,8.0,0.0,0.0,6.0,6.0,4.0,3.0,3.0,2.0,2.0,-1.0
2024-04-07,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,6.0,5.0,1.0,1.0,4.0,3.0,3.0,-1.0
2024-04-06,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,8.0,6.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.0,1.0,-1.0
2024-04-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,4.0,6.0,6.0,6.0,-1.0
2024-04-04,-1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,-1.0
2024-04-03,-1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,3.0,4.0,3.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,-1.0
2024-04-02,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,-1.0
