date,Westerland(Sylt).in,Westerland(Sylt).out,Niebüll_neg.in,Niebüll_neg.out,Niebüll.in,Niebüll.out,Langenhorn(Schlesw).in,Langenhorn(Schlesw).out,Bredstedt.in,Bredstedt.out
2024-05-29,-1.0,23.0,0.0,0.0,0.0,0.0,12.0,12.0,12.0,-1.0
2024-05-26,-1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-25,-1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,-1.0
2024-05-24,-1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,8.0,-1.0
2024-05-23,-1.0,53.0,0.0,0.0,0.0,0.0,37.0,37.0,37.0,-1.0
2024-05-22,-1.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,-1.0
2024-05-21,-1.0,0.0,0.0,0.0,-1.0,0.0,12.0,12.0,12.0,-1.0
2024-05-20,-1.0,25.0,0.0,0.0,0.0,0.0,8.0,8.0,9.0,-1.0
2024-05-19,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-18,-1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-17,-1.0,-1.0,0.0,0.0,-1.0,0.0,7.0,6.0,8.0,-1.0
2024-05-16,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,-1.0
2024-05-15,-1.0,12.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0
2024-05-07,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-05-06,-1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-05,-1.0,8.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0
2024-05-01,-1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-30,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-29,-1.0,28.0,0.0,0.0,0.0,0.0,6.0,5.0,3.0,-1.0
2024-04-28,-1.0,12.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,-1.0
2024-04-27,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-26,-1.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0
2024-04-25,-1.0,48.0,27.0,0.0,27.0,0.0,0.0,0.0,0.0,-1.0
2024-04-24,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-23,-1.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0
2024-04-22,-1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-21,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0
2024-04-20,-1.0,6.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0
2024-04-19,-1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-18,-1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-17,-1.0,108.0,90.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0
2024-04-16,-1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-15,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-14,-1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
2024-04-13,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-10,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,-1.0
2024-04-08,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
2024-04-06,-1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-04,-1.0,21.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,-1.0
2024-04-03,-1.0,11.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0
2024-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.0
