date,Magdeburg_Hbf.in,Magdeburg_Hbf.out,Brandenburg_Hbf.in,Brandenburg_Hbf.out,Potsdam_Hbf.in,Potsdam_Hbf.out,Berlin-Wannsee.in,Berlin-Wannsee.out,Berlin_Gesundbrunnen.in,Berlin_Gesundbrunnen.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin_Ostbahnhof.in,Berlin_Ostbahnhof.out
2024-05-30,-1.0,2.0,-1.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,5.0,-1.0,3.0,-1.0
2024-05-29,-1.0,0.0,0.0,0.0,7.0,7.0,7.0,6.0,0.0,0.0,6.0,-1.0,4.0,-1.0
2024-05-28,-1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0
2024-05-27,-1.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,4.0,-1.0,11.0,-1.0
2024-05-24,-1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0
2024-05-23,-1.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,-1.0,0.0,-1.0
2024-05-22,-1.0,1.0,5.0,5.0,10.0,10.0,11.0,11.0,0.0,0.0,10.0,-1.0,10.0,-1.0
2024-05-21,-1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-1.0,1.0,-1.0
2024-05-17,-1.0,1.0,0.0,0.0,0.0,0.0,6.0,5.0,0.0,0.0,3.0,-1.0,2.0,-1.0
2024-05-16,-1.0,1.0,1.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,2.0,-1.0,1.0,-1.0
2024-05-15,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.0,0.0,-1.0
2024-05-14,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0
2024-05-13,-1.0,3.0,7.0,6.0,4.0,3.0,3.0,3.0,0.0,0.0,2.0,-1.0,0.0,-1.0
2024-05-08,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.0,0.0,-1.0
2024-05-07,0.0,1.0,-1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,-1.0,0.0,-1.0
2024-05-06,-1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,-1.0,0.0,-1.0
2024-05-02,-1.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,-1.0,1.0,-1.0
2024-05-01,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-1.0,0.0,-1.0
2024-04-30,-1.0,1.0,0.0,0.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,-1.0,0.0,-1.0
2024-04-29,-1.0,0.0,0.0,0.0,2.0,1.0,8.0,8.0,0.0,0.0,0.0,-1.0,0.0,-1.0
2024-04-26,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0
2024-04-25,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
2024-04-24,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
2024-04-23,-1.0,5.0,6.0,5.0,2.0,2.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
2024-04-22,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
2024-04-21,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-19,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0
2024-04-18,-1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,-1.0,0.0,0.0,0.0,0.0
2024-04-17,-1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0,0.0,0.0,0.0,0.0
2024-04-16,-1.0,0.0,0.0,0.0,1.0,0.0,7.0,7.0,8.0,-1.0,0.0,0.0,0.0,0.0
2024-04-15,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-1.0,0.0,0.0,0.0,0.0
2024-04-14,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-12,-1.0,0.0,-1.0,0.0,0.0,0.0,6.0,5.0,0.0,-1.0,0.0,0.0,0.0,0.0
2024-04-11,-1.0,1.0,-1.0,0.0,6.0,5.0,5.0,5.0,13.0,-1.0,0.0,0.0,0.0,0.0
2024-04-10,-1.0,2.0,-1.0,0.0,2.0,2.0,0.0,0.0,2.0,-1.0,0.0,0.0,0.0,0.0
2024-04-09,-1.0,0.0,6.0,6.0,8.0,3.0,0.0,0.0,3.0,-1.0,0.0,0.0,0.0,0.0
2024-04-08,-1.0,0.0,5.0,25.0,27.0,22.0,23.0,22.0,28.0,-1.0,0.0,0.0,0.0,0.0
2024-04-07,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
