date,Berlin_Ostbahnhof.in,Berlin_Ostbahnhof.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Stendal_Hbf.in,Stendal_Hbf.out,Wolfsburg_Hbf.in,Wolfsburg_Hbf.out,Hannover_Hbf.in,Hannover_Hbf.out,Minden(Westf).in,Minden(Westf).out,Herford.in,Herford.out,Bielefeld_Hbf.in,Bielefeld_Hbf.out,Hamm(Westf)Hbf.in,Hamm(Westf)Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out,Bochum_Hbf.in,Bochum_Hbf.out,Essen_Hbf.in,Essen_Hbf.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Düsseldorf_Flughafen.in,Düsseldorf_Flughafen.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out
2024-05-07,-1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,9.0,4.0,5.0,6.0,6.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,6.0,9.0,9.0,8.0,-1.0
2024-05-06,-1.0,1.0,-1.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,0.0,5.0,4.0,4.0,3.0,4.0,5.0,6.0,-1.0,-1.0,17.0,-1.0
2024-05-05,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-03,-1.0,2.0,2.0,2.0,1.0,0.0,5.0,5.0,10.0,10.0,0.0,1.0,29.0,29.0,26.0,26.0,25.0,26.0,29.0,31.0,28.0,35.0,34.0,34.0,35.0,36.0,36.0,36.0,42.0,-1.0,60.0,-1.0
2024-05-02,-1.0,25.0,-1.0,22.0,-1.0,0.0,16.0,16.0,9.0,9.0,0.0,3.0,13.0,13.0,9.0,9.0,11.0,10.0,9.0,10.0,6.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,6.0,6.0,5.0,-1.0
2024-05-01,-1.0,0.0,-1.0,2.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,6.0,3.0,2.0,4.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,-1.0
2024-04-30,-1.0,3.0,-1.0,1.0,0.0,0.0,0.0,20.0,15.0,15.0,5.0,5.0,17.0,17.0,14.0,14.0,6.0,10.0,14.0,23.0,52.0,51.0,54.0,53.0,55.0,56.0,57.0,57.0,58.0,57.0,60.0,-1.0
2024-04-29,-1.0,1.0,-1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,1.0,5.0,-1.0
2024-04-28,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-27,-1.0,1.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-1.0
2024-04-26,-1.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,4.0,4.0,0.0,2.0,10.0,11.0,-1.0,-1.0,28.0,28.0,31.0,32.0,36.0,35.0,35.0,-1.0
2024-04-25,-1.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,12.0,11.0,7.0,6.0,6.0,5.0,4.0,5.0,0.0,3.0,0.0,1.0,5.0,5.0,5.0,4.0,7.0,7.0,6.0,-1.0
2024-04-24,-1.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,4.0,3.0,0.0,1.0,0.0,6.0,4.0,4.0,6.0,7.0,7.0,8.0,12.0,11.0,12.0,-1.0
2024-04-23,-1.0,-1.0,-1.0,1.0,2.0,2.0,0.0,-1.0,0.0,0.0,0.0,0.0,9.0,9.0,6.0,5.0,2.0,2.0,4.0,5.0,2.0,2.0,1.0,1.0,6.0,5.0,5.0,5.0,9.0,8.0,8.0,-1.0
2024-04-22,-1.0,0.0,-1.0,1.0,-1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,8.0,4.0,3.0,0.0,0.0,1.0,1.0,1.0,2.0,5.0,5.0,5.0,-1.0
2024-04-21,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-20,-1.0,8.0,-1.0,5.0,3.0,3.0,0.0,1.0,0.0,0.0,2.0,3.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,4.0,4.0,-1.0
2024-04-19,-1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,5.0,7.0,6.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,16.0,16.0,15.0,-1.0
2024-04-18,-1.0,0.0,-1.0,1.0,-1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,5.0,4.0,4.0,4.0,6.0,6.0,5.0,-1.0
2024-04-17,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-15,-1.0,0.0,-1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,14.0,14.0,15.0,14.0,11.0,11.0,14.0,15.0,11.0,9.0,7.0,7.0,7.0,8.0,7.0,8.0,12.0,13.0,12.0,-1.0
2024-04-14,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-13,-1.0,5.0,5.0,3.0,4.0,4.0,3.0,4.0,0.0,0.0,4.0,4.0,5.0,5.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,5.0,4.0,-1.0
2024-04-12,-1.0,1.0,-1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,1.0,1.0,3.0,4.0,0.0,0.0,3.0,3.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,-1.0
2024-04-11,-1.0,3.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,9.0,9.0,5.0,5.0,2.0,1.0,4.0,5.0,5.0,3.0,4.0,4.0,4.0,4.0,6.0,7.0,8.0,8.0,7.0,-1.0
2024-04-10,-1.0,1.0,-1.0,9.0,9.0,9.0,20.0,24.0,19.0,22.0,0.0,1.0,35.0,35.0,32.0,32.0,5.0,4.0,36.0,38.0,48.0,47.0,45.0,45.0,44.0,44.0,45.0,44.0,45.0,43.0,48.0,-1.0
2024-04-09,-1.0,2.0,-1.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,3.0,0.0,0.0,0.0,1.0,2.0,4.0,0.0,0.0,3.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,7.0,-1.0
2024-04-08,-1.0,2.0,-1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,6.0,5.0,6.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,6.0,7.0,7.0,-1.0
2024-04-07,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-06,-1.0,1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,5.0,6.0,7.0,6.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-05,-1.0,26.0,26.0,26.0,21.0,20.0,15.0,14.0,10.0,11.0,9.0,8.0,17.0,16.0,13.0,13.0,6.0,4.0,8.0,8.0,3.0,3.0,1.0,1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-04,-1.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,3.0,0.0,1.0,2.0,2.0,10.0,11.0,7.0,5.0,3.0,2.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-03,-1.0,1.0,-1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,1.0,4.0,5.0,8.0,9.0,5.0,2.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-02,-1.0,1.0,-1.0,1.0,0.0,1.0,0.0,-1.0,31.0,31.0,12.0,11.0,3.0,3.0,0.0,0.0,0.0,1.0,11.0,11.0,5.0,3.0,1.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
