date,Stuttgart_Hbf.in,Stuttgart_Hbf.out,Vaihingen(Enz).in,Vaihingen(Enz).out,Wiesloch-Walldorf.in,Wiesloch-Walldorf.out,Heidelberg_Hbf.in,Heidelberg_Hbf.out,Mannheim_Hbf.in,Mannheim_Hbf.out,Mainz_Hbf.in,Mainz_Hbf.out,Wiesbaden_Hbf.in,Wiesbaden_Hbf.out
2024-05-10,-1.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,-1.0
2024-05-09,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0
2024-05-08,-1.0,0.0,1.0,1.0,0.0,0.0,6.0,5.0,6.0,6.0,4.0,-1.0,0.0,-1.0
2024-05-07,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0
2024-05-06,-1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,4.0,4.0,1.0,1.0,1.0,-1.0
2024-05-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-03,-1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,11.0,11.0,4.0,-1.0
2024-05-02,-1.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,3.0,4.0,1.0,1.0,-1.0
2024-05-01,-1.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,3.0,35.0,36.0,31.0,28.0,-1.0
2024-04-30,-1.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,3.0,3.0,5.0,2.0,6.0,-1.0
2024-04-28,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-26,-1.0,0.0,-1.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,2.0,2.0,0.0,-1.0
2024-04-25,-1.0,0.0,-1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0,-1.0
2024-04-24,-1.0,0.0,-1.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,8.0,0.0,1.0,-1.0
2024-04-23,-1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,16.0,19.0,11.0,15.0,-1.0
2024-04-22,-1.0,0.0,4.0,3.0,2.0,2.0,3.0,3.0,5.0,5.0,11.0,4.0,1.0,-1.0
2024-04-21,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-19,-1.0,0.0,-1.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,10.0,-1.0
2024-04-18,-1.0,-1.0,0.0,0.0,0.0,0.0,5.0,4.0,3.0,3.0,8.0,8.0,0.0,-1.0
2024-04-17,-1.0,0.0,13.0,15.0,9.0,8.0,2.0,2.0,8.0,8.0,24.0,17.0,16.0,-1.0
2024-04-16,-1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,4.0,4.0,9.0,5.0,4.0,-1.0
2024-04-15,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,1.0,0.0,0.0,-1.0
2024-04-14,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-12,-1.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,4.0,4.0,6.0,6.0,1.0,-1.0
2024-04-11,-1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,-1.0
2024-04-10,-1.0,0.0,2.0,3.0,0.0,0.0,2.0,3.0,4.0,4.0,1.0,1.0,1.0,-1.0
2024-04-09,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,4.0,4.0,0.0,-1.0
2024-04-08,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-07,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-05,-1.0,0.0,-1.0,0.0,5.0,5.0,1.0,5.0,1.0,1.0,1.0,1.0,0.0,-1.0
2024-04-04,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-03,-1.0,0.0,0.0,10.0,3.0,3.0,5.0,4.0,34.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-02,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-01,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
