date,Hannover_Hbf.in,Hannover_Hbf.out,Peine.in,Peine.out,Braunschweig_Hbf.in,Braunschweig_Hbf.out,Helmstedt.in,Helmstedt.out,Magdeburg_Hbf.in,Magdeburg_Hbf.out,Köthen.in,Köthen.out,Halle(Saale)Hbf.in,Halle(Saale)Hbf.out,Leipzig_Hbf.in,Leipzig_Hbf.out
2024-05-13,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,-1.0
2024-05-12,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
2024-05-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
2024-05-10,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,2.0,0.0,0.0,0.0,-1.0
2024-05-09,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-05-08,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,-1.0
2024-05-07,-1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,-1.0
2024-05-06,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,8.0,5.0,4.0,2.0,-1.0
2024-05-05,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
2024-05-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,1.0,1.0,-1.0
2024-05-02,-1.0,0.0,0.0,0.0,5.0,5.0,6.0,6.0,5.0,3.0,3.0,3.0,0.0,1.0,7.0,-1.0
2024-05-01,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,2.0,0.0,0.0,0.0,-1.0
2024-04-30,-1.0,1.0,1.0,-1.0,0.0,0.0,8.0,8.0,9.0,6.0,5.0,5.0,0.0,0.0,0.0,-1.0
2024-04-29,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0
2024-04-28,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
2024-04-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
2024-04-26,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,3.0,0.0,0.0,1.0,-1.0
2024-04-25,-1.0,0.0,7.0,6.0,7.0,7.0,6.0,6.0,4.0,2.0,1.0,0.0,0.0,0.0,1.0,-1.0
2024-04-24,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,9.0,8.0,6.0,5.0,4.0,-1.0
2024-04-23,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,-1.0
2024-04-22,-1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,6.0,4.0,6.0,6.0,1.0,1.0,0.0,-1.0
2024-04-21,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
2024-04-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,4.0,2.0,1.0,4.0,-1.0
2024-04-19,-1.0,0.0,-1.0,-1.0,31.0,31.0,31.0,32.0,32.0,29.0,27.0,26.0,22.0,24.0,23.0,-1.0
2024-04-18,-1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,-1.0
2024-04-17,-1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,-1.0
2024-04-16,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,1.0,1.0,0.0,-1.0
2024-04-15,-1.0,0.0,1.0,1.0,1.0,1.0,15.0,14.0,14.0,16.0,16.0,15.0,11.0,11.0,10.0,-1.0
2024-04-14,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
2024-04-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,2.0,2.0,2.0,-1.0
2024-04-12,-1.0,1.0,3.0,1.0,1.0,0.0,4.0,4.0,6.0,4.0,5.0,3.0,4.0,4.0,5.0,-1.0
2024-04-10,-1.0,0.0,12.0,11.0,11.0,11.0,10.0,10.0,10.0,16.0,22.0,20.0,20.0,21.0,30.0,-1.0
2024-04-09,-1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,7.0,4.0,10.0,10.0,8.0,8.0,11.0,-1.0
2024-04-08,-1.0,1.0,0.0,0.0,8.0,7.0,6.0,6.0,7.0,8.0,10.0,8.0,8.0,8.0,10.0,-1.0
2024-04-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,3.0,0.0,0.0,1.0,1.0,2.0,-1.0
2024-04-05,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0
2024-04-02,-1.0,0.0,50.0,48.0,47.0,47.0,73.0,73.0,70.0,64.0,69.0,69.0,66.0,66.0,68.0,-1.0
2024-04-01,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
