date,Amsterdam_Centraal.in,Amsterdam_Centraal.out,Amsterdam_Sloterdijk.in,Amsterdam_Sloterdijk.out,Köln_Hbf.in,Köln_Hbf.out,Leiden_Centraal.in,Leiden_Centraal.out,Den_Haag_Laan_van_Nieuw_Oost_Indie.in,Den_Haag_Laan_van_Nieuw_Oost_Indie.out,Den_Haag_HS.in,Den_Haag_HS.out,Delft.in,Delft.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Düsseldorf_Flughafen.in,Düsseldorf_Flughafen.out,Rotterdam_Centraal.in,Rotterdam_Centraal.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Rotterdam_Blaak.in,Rotterdam_Blaak.out,Oberhausen_Hbf.in,Oberhausen_Hbf.out,Oberhausen(Rheinl)Hbf.in,Oberhausen(Rheinl)Hbf.out,Gelsenkirchen_Hbf.in,Gelsenkirchen_Hbf.out,Breda.in,Breda.out,Wanne-Eickel_Hbf.in,Wanne-Eickel_Hbf.out,Recklinghausen_Hbf.in,Recklinghausen_Hbf.out,Münster(Westf)Hbf.in,Münster(Westf)Hbf.out,Rheine.in,Rheine.out,Lingen(Ems).in,Lingen(Ems).out,Lingen/ZOB.in,Lingen/ZOB.out,Meppen.in,Meppen.out,Papenburg(Ems).in,Papenburg(Ems).out,Papenburg.in,Papenburg.out,Leer(Ostfriesl).in,Leer(Ostfriesl).out,Emden_Hbf.in,Emden_Hbf.out,Norden.in,Norden.out,Norddeich.in,Norddeich.out,Norddeich_Mole.in,Norddeich_Mole.out
2024-05-03,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,4.0,2.0,0.0,0.0,3.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,2.0,2.0,3.0,2.0,15.0,14.0,18.0,18.0,24.0,22.0,18.0,23.0,20.0,20.0,17.0,16.0,0.0,0.0,18.0,18.0,16.0,1.0,10.0,10.0,9.0,9.0,8.0,-1.0
2024-05-02,0.0,0.0,0.0,0.0,-1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,5.0,7.0,3.0,3.0,6.0,6.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,-1.0
2024-05-01,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-27,-1.0,0.0,-1.0,0.0,-1.0,1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,22.0,21.0,-1.0,0.0,25.0,24.0,0.0,0.0,27.0,26.0,0.0,-1.0,25.0,24.0,27.0,26.0,22.0,21.0,17.0,17.0,16.0,15.0,16.0,16.0,25.0,25.0,21.0,22.0,0.0,0.0,22.0,23.0,23.0,6.0,6.0,5.0,4.0,4.0,4.0,-1.0
2024-04-26,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,4.0,2.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,7.0,7.0,6.0,4.0,3.0,2.0,4.0,3.0,3.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,3.0,2.0,2.0,13.0,-1.0
2024-04-24,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-20,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,8.0,8.0,5.0,6.0,5.0,5.0,5.0,5.0,4.0,0.0,5.0,4.0,4.0,3.0,4.0,-1.0
2024-04-19,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,12.0,15.0,14.0,15.0,14.0,15.0,15.0,13.0,13.0,8.0,8.0,8.0,8.0,6.0,7.0,11.0,3.0,4.0,4.0,3.0,3.0,2.0,-1.0
2024-04-18,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,7.0,7.0,7.0,6.0,6.0,-1.0
2024-04-17,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-13,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,3.0,2.0,2.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,3.0,1.0,1.0,0.0,0.0,1.0,-1.0
2024-04-12,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,8.0,8.0,6.0,7.0,7.0,5.0,4.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,3.0,3.0,3.0,2.0,-1.0
2024-04-11,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,15.0,16.0,15.0,16.0,15.0,14.0,14.0,14.0,15.0,16.0,16.0,0.0,0.0,16.0,17.0,16.0,3.0,3.0,3.0,2.0,2.0,2.0,-1.0
2024-04-10,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-06,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,4.0,3.0,3.0,3.0,-1.0
2024-04-05,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,28.0,26.0,25.0,26.0,25.0,24.0,25.0,23.0,22.0,18.0,18.0,0.0,0.0,17.0,20.0,44.0,32.0,32.0,32.0,31.0,30.0,31.0,-1.0
2024-04-04,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,15.0,14.0,14.0,15.0,13.0,14.0,14.0,11.0,11.0,7.0,8.0,0.0,0.0,8.0,8.0,6.0,1.0,1.0,4.0,3.0,3.0,2.0,-1.0
2024-04-03,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
