date,Berlin_Südkreuz.in,Berlin_Südkreuz.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Ludwigslust.in,Ludwigslust.out,Hamburg_Hbf.in,Hamburg_Hbf.out,Hamburg_Dammtor.in,Hamburg_Dammtor.out,Hamburg-Altona.in,Hamburg-Altona.out
2024-05-11,-1.0,0.0,-1.0,1.0,0.0,1.0,5.0,5.0,11.0,11.0,11.0,11.0,9.0,-1.0
2024-05-10,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,-1.0
2024-05-08,-1.0,1.0,-1.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,4.0,3.0,1.0,-1.0
2024-05-07,-1.0,1.0,-1.0,16.0,19.0,19.0,18.0,18.0,16.0,21.0,18.0,21.0,19.0,-1.0
2024-05-06,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-05-05,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-04,-1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,7.0,7.0,7.0,7.0,6.0,-1.0
2024-05-03,-1.0,1.0,-1.0,1.0,0.0,0.0,1.0,1.0,5.0,5.0,3.0,3.0,1.0,-1.0
2024-05-02,-1.0,1.0,-1.0,2.0,1.0,0.0,1.0,2.0,2.0,2.0,4.0,3.0,2.0,-1.0
2024-05-01,-1.0,0.0,-1.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,3.0,2.0,1.0,-1.0
2024-04-30,-1.0,0.0,-1.0,2.0,1.0,1.0,4.0,3.0,16.0,16.0,20.0,20.0,17.0,-1.0
2024-04-29,-1.0,0.0,-1.0,1.0,0.0,1.0,1.0,1.0,5.0,6.0,8.0,7.0,5.0,-1.0
2024-04-28,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-27,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,4.0,2.0,-1.0
2024-04-26,-1.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,-1.0
2024-04-24,-1.0,0.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,3.0,-1.0
2024-04-23,-1.0,0.0,-1.0,0.0,3.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0,1.0,-1.0
2024-04-22,-1.0,0.0,-1.0,1.0,1.0,2.0,0.0,2.0,3.0,3.0,6.0,6.0,5.0,-1.0
2024-04-21,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-20,-1.0,0.0,-1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,-1.0
2024-04-19,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-18,-1.0,0.0,-1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,10.0,-1.0
2024-04-17,-1.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,-1.0
2024-04-16,-1.0,0.0,-1.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,4.0,4.0,3.0,-1.0
2024-04-15,-1.0,1.0,-1.0,2.0,3.0,2.0,2.0,2.0,9.0,9.0,8.0,8.0,6.0,-1.0
2024-04-14,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-13,-1.0,0.0,-1.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,3.0,2.0,2.0,-1.0
2024-04-12,-1.0,0.0,-1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,-1.0
2024-04-11,-1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0,1.0,-1.0
2024-04-10,-1.0,41.0,40.0,39.0,44.0,44.0,55.0,54.0,62.0,61.0,66.0,66.0,67.0,-1.0
2024-04-09,-1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0
2024-04-08,-1.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,3.0,3.0,1.0,-1.0
2024-04-06,-1.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,-1.0
2024-04-05,-1.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.0
2024-04-04,-1.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,1.0,60.0,59.0,58.0,57.0,-1.0
2024-04-03,-1.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,-1.0
2024-04-02,-1.0,2.0,-1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,7.0,5.0,-1.0
2024-04-01,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
