date,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out,Fulda.in,Fulda.out,Kassel-Wilhelmshöhe.in,Kassel-Wilhelmshöhe.out,Göttingen.in,Göttingen.out,Hildesheim_Hbf.in,Hildesheim_Hbf.out,Braunschweig_Hbf.in,Braunschweig_Hbf.out,Wolfsburg_Hbf.in,Wolfsburg_Hbf.out,Stendal_Hbf.in,Stendal_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin_Südkreuz.in,Berlin_Südkreuz.out
2024-04-28,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-27,-1.0,1.0,0.0,0.0,43.0,43.0,49.0,49.0,49.0,49.0,48.0,48.0,54.0,55.0,64.0,65.0,64.0,63.0,71.0,-1.0,0.0,0.0
2024-04-26,-1.0,0.0,0.0,0.0,-1.0,2.0,1.0,2.0,1.0,2.0,0.0,0.0,3.0,4.0,2.0,3.0,0.0,-1.0,1.0,-1.0,0.0,0.0
2024-04-25,0.0,0.0,0.0,0.0,-1.0,2.0,4.0,5.0,3.0,4.0,2.0,2.0,6.0,7.0,5.0,6.0,15.0,15.0,18.0,-1.0,0.0,0.0
2024-04-24,-1.0,2.0,24.0,24.0,28.0,29.0,31.0,32.0,29.0,31.0,30.0,30.0,30.0,32.0,43.0,46.0,48.0,48.0,49.0,-1.0,0.0,0.0
2024-04-23,-1.0,1.0,-1.0,0.0,31.0,32.0,38.0,39.0,41.0,41.0,39.0,38.0,40.0,40.0,40.0,41.0,36.0,36.0,43.0,-1.0,0.0,0.0
2024-04-22,-1.0,0.0,1.0,1.0,9.0,10.0,8.0,8.0,7.0,9.0,15.0,15.0,16.0,16.0,15.0,16.0,16.0,15.0,22.0,-1.0,0.0,0.0
2024-04-21,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-20,0.0,0.0,0.0,0.0,-1.0,2.0,1.0,2.0,7.0,8.0,5.0,5.0,7.0,7.0,5.0,6.0,2.0,1.0,2.0,-1.0,0.0,0.0
2024-04-19,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0
2024-04-18,0.0,0.0,0.0,0.0,-1.0,5.0,1.0,1.0,4.0,5.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,5.0,-1.0
2024-04-17,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0
2024-04-16,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,15.0,36.0,38.0,37.0,37.0,37.0,37.0,39.0,40.0,38.0,38.0,52.0,-1.0,0.0,0.0
2024-04-15,-1.0,29.0,18.0,18.0,0.0,1.0,1.0,13.0,13.0,14.0,13.0,12.0,12.0,12.0,10.0,11.0,18.0,17.0,24.0,-1.0,0.0,0.0
2024-04-14,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-13,0.0,0.0,0.0,0.0,-1.0,1.0,2.0,2.0,6.0,7.0,4.0,4.0,3.0,3.0,0.0,1.0,0.0,0.0,1.0,-1.0,0.0,0.0
2024-04-12,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,-1.0,0.0,0.0
2024-04-10,0.0,0.0,0.0,0.0,-1.0,0.0,14.0,14.0,13.0,14.0,42.0,42.0,42.0,43.0,43.0,44.0,44.0,44.0,49.0,-1.0,0.0,0.0
2024-04-09,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0
2024-04-08,-1.0,29.0,18.0,18.0,0.0,-1.0,90.0,89.0,-1.0,-1.0,84.0,84.0,-1.0,-1.0,83.0,83.0,-1.0,-1.0,79.0,-1.0,0.0,0.0
2024-04-07,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-06,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0
2024-04-05,0.0,0.0,0.0,0.0,-1.0,2.0,6.0,6.0,9.0,10.0,8.0,8.0,8.0,7.0,7.0,8.0,2.0,1.0,1.0,-1.0,0.0,0.0
2024-04-04,0.0,0.0,0.0,0.0,-1.0,27.0,35.0,36.0,39.0,40.0,38.0,38.0,42.0,42.0,43.0,44.0,42.0,41.0,39.0,-1.0,0.0,0.0
2024-04-03,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,1.0,2.0,3.0,4.0,4.0,5.0,4.0,9.0,10.0,5.0,4.0,0.0,-1.0,0.0,0.0
2024-04-02,-1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,9.0,9.0,8.0,9.0,5.0,5.0,0.0,-1.0,0.0,-1.0
2024-04-01,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0
