date,Hamburg-Altona.in,Hamburg-Altona.out,Hamburg_Dammtor.in,Hamburg_Dammtor.out,Hamburg_Hbf.in,Hamburg_Hbf.out,Büchen.in,Büchen.out,Ludwigslust.in,Ludwigslust.out,Wittenberge.in,Wittenberge.out,Berlin-Spandau.in,Berlin-Spandau.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin_Südkreuz.in,Berlin_Südkreuz.out,Naumburg(Saale)Hbf.in,Naumburg(Saale)Hbf.out,Kassel-Wilhelmshöhe.in,Kassel-Wilhelmshöhe.out,Eisenach.in,Eisenach.out,Jena_Paradies.in,Jena_Paradies.out,Bitterfeld.in,Bitterfeld.out,Esslingen(Neckar).in,Esslingen(Neckar).out,Leipzig_Hbf.in,Leipzig_Hbf.out,Erfurt_Hbf.in,Erfurt_Hbf.out,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Mannheim_Hbf.in,Mannheim_Hbf.out,Heidelberg_Hbf.in,Heidelberg_Hbf.out,Stuttgart_Hbf.in,Stuttgart_Hbf.out,Neu-Ulm.in,Neu-Ulm.out,Ulm_Hbf.in,Ulm_Hbf.out,Günzburg.in,Günzburg.out,Augsburg_Hbf.in,Augsburg_Hbf.out,München-Pasing.in,München-Pasing.out,München_Hbf.in,München_Hbf.out
2024-05-30,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,7.0,6.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,3.0,20.0,17.0,15.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,7.0,14.0,13.0,5.0,3.0,2.0,3.0,2.0,-1.0
2024-05-28,-1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,11.0,11.0,12.0,13.0,11.0,10.0,9.0,11.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,12.0,0.0,0.0,11.0,47.0,0.0,0.0,80.0,84.0,-1.0,-1.0,68.0,58.0,-1.0,-1.0,35.0,33.0,-1.0,0.0,20.0,19.0,19.0,18.0,19.0,21.0,19.0,19.0,17.0,-1.0
2024-05-27,-1.0,15.0,16.0,17.0,18.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,26.0,23.0,26.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,24.0,0.0,0.0,40.0,36.0,0.0,0.0,38.0,44.0,50.0,51.0,42.0,42.0,47.0,46.0,35.0,35.0,0.0,0.0,38.0,39.0,38.0,37.0,17.0,18.0,15.0,15.0,11.0,-1.0
2024-05-26,-1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,5.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,10.0,0.0,0.0,9.0,19.0,0.0,0.0,136.0,128.0,0.0,0.0,0.0,0.0,116.0,127.0,100.0,32.0,-1.0,-1.0,34.0,35.0,34.0,33.0,37.0,37.0,35.0,35.0,36.0,-1.0
2024-05-25,-1.0,60.0,58.0,57.0,62.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,58.0,59.0,58.0,59.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,62.0,0.0,0.0,60.0,66.0,0.0,0.0,31.0,30.0,0.0,0.0,0.0,0.0,19.0,27.0,36.0,48.0,0.0,0.0,41.0,43.0,39.0,38.0,44.0,44.0,41.0,40.0,40.0,-1.0
2024-05-24,-1.0,0.0,0.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,9.0,13.0,13.0,14.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,8.0,29.0,19.0,15.0,8.0,8.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,48.0,0.0,0.0,39.0,48.0,44.0,44.0,44.0,46.0,43.0,44.0,42.0,-1.0
2024-05-23,-1.0,17.0,21.0,21.0,21.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,26.0,28.0,26.0,28.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,26.0,0.0,0.0,22.0,20.0,25.0,22.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,0.0,0.0,1.0,0.0,1.0,16.0,93.0,93.0,91.0,-1.0,2.0,-1.0
2024-05-22,-1.0,0.0,2.0,2.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,30.0,35.0,32.0,34.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,0.0,0.0,33.0,29.0,0.0,0.0,5.0,3.0,18.0,16.0,6.0,6.0,14.0,14.0,37.0,5.0,0.0,0.0,4.0,3.0,97.0,96.0,93.0,93.0,93.0,-1.0,10.0,-1.0
2024-05-21,-1.0,14.0,14.0,14.0,15.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,14.0,13.0,13.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,16.0,0.0,0.0,14.0,14.0,0.0,0.0,16.0,14.0,13.0,10.0,12.0,2.0,6.0,5.0,24.0,5.0,0.0,0.0,5.0,5.0,17.0,17.0,15.0,14.0,1.0,1.0,0.0,-1.0
2024-05-20,-1.0,1.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,21.0,36.0,46.0,52.0,52.0,39.0,36.0,0.0,0.0,40.0,40.0,39.0,38.0,18.0,18.0,13.0,12.0,9.0,-1.0
