date,Norddeich.in,Norddeich.out,Norden.in,Norden.out,Marienhafe.in,Marienhafe.out,Emden_Hbf.in,Emden_Hbf.out,Leer(Ostfriesl).in,Leer(Ostfriesl).out,Augustfehn.in,Augustfehn.out,Westerstede-Ocholt.in,Westerstede-Ocholt.out,Bad_Zwischenahn.in,Bad_Zwischenahn.out,Oldenburg(Oldb)Hbf.in,Oldenburg(Oldb)Hbf.out,Hude.in,Hude.out,Osnabrück_Hbf.in,Osnabrück_Hbf.out,Delmenhorst.in,Delmenhorst.out,Bremen_Hbf.in,Bremen_Hbf.out,Minden(Westf).in,Minden(Westf).out,Verden(Aller).in,Verden(Aller).out,Nienburg(Weser).in,Nienburg(Weser).out,Wolfsburg_Hbf.in,Wolfsburg_Hbf.out,Hannover_Hbf.in,Hannover_Hbf.out,Stendal_Hbf.in,Stendal_Hbf.out,Braunschweig_Hbf.in,Braunschweig_Hbf.out,Helmstedt.in,Helmstedt.out,Magdeburg_Hbf.in,Magdeburg_Hbf.out,Brandenburg_Hbf.in,Brandenburg_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Potsdam_Hbf.in,Potsdam_Hbf.out,Berlin_Gesundbrunnen.in,Berlin_Gesundbrunnen.out,Berlin-Wannsee.in,Berlin-Wannsee.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin_Ostbahnhof.in,Berlin_Ostbahnhof.out
2024-05-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,2.0,1.0,0.0,0.0,2.0,2.0,34.0,33.0,0.0,0.0,33.0,31.0,31.0,30.0,0.0,0.0,22.0,10.0,0.0,0.0,7.0,8.0,7.0,7.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,2.0,0.0,-1.0
2024-05-18,-1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,9.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,0.0,0.0,6.0,1.0,0.0,0.0,1.0,1.0,0.0,-1.0,2.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.0
2024-05-17,-1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,3.0,-1.0
2024-05-15,-1.0,0.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,6.0,0.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,0.0,0.0,3.0,3.0,4.0,3.0,0.0,0.0,6.0,5.0,6.0,6.0,0.0,0.0,9.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,5.0,4.0,0.0,0.0,5.0,3.0,0.0,0.0,5.0,5.0,3.0,2.0,0.0,-1.0
2024-05-14,-1.0,1.0,1.0,1.0,0.0,0.0,2.0,3.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,6.0,4.0,0.0,0.0,5.0,3.0,4.0,3.0,0.0,0.0,24.0,4.0,0.0,0.0,8.0,7.0,7.0,8.0,9.0,2.0,3.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.0
2024-05-13,-1.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,3.0,4.0,4.0,0.0,0.0,4.0,3.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,3.0,4.0,0.0,0.0,3.0,3.0,3.0,3.0,4.0,1.0,3.0,3.0,0.0,0.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,3.0,1.0,-1.0
2024-05-12,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,2.0,5.0,8.0,10.0,0.0,0.0,11.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,-1.0
2024-05-11,-1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,11.0,11.0,9.0,10.0,9.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-1.0
2024-05-10,-1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,7.0,6.0,9.0,-1.0
2024-05-09,-1.0,1.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,3.0,3.0,0.0,2.0,2.0,2.0,3.0,2.0,2.0,4.0,5.0,0.0,0.0,5.0,5.0,3.0,3.0,0.0,0.0,5.0,7.0,8.0,9.0,0.0,0.0,12.0,8.0,0.0,0.0,8.0,8.0,8.0,8.0,8.0,3.0,4.0,3.0,0.0,0.0,3.0,2.0,0.0,0.0,3.0,3.0,1.0,1.0,1.0,-1.0
2024-05-08,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,2.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,4.0,3.0,2.0,2.0,-1.0
2024-05-07,-1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,10.0,9.0,9.0,9.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-06,-1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,12.0,12.0,13.0,12.0,12.0,11.0,3.0,3.0,3.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,11.0,10.0,10.0,9.0,0.0,0.0,9.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,-1.0
2024-05-05,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,5.0,5.0,4.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-04,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,7.0,6.0,6.0,4.0,0.0,0.0,8.0,6.0,6.0,5.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,3.0,1.0,2.0,0.0,-1.0
2024-05-03,-1.0,1.0,3.0,2.0,3.0,3.0,4.0,7.0,12.0,8.0,17.0,7.0,7.0,8.0,8.0,9.0,9.0,5.0,7.0,7.0,0.0,0.0,7.0,7.0,6.0,5.0,0.0,0.0,25.0,24.0,26.0,26.0,0.0,0.0,32.0,11.0,0.0,0.0,10.0,9.0,7.0,7.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0,1.0,6.0,-1.0
2024-05-01,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0,3.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-1.0
2024-04-30,-1.0,4.0,0.0,0.0,0.0,4.0,4.0,4.0,2.0,2.0,3.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,14.0,13.0,13.0,13.0,0.0,0.0,16.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,7.0,6.0,0.0,0.0,5.0,3.0,0.0,0.0,9.0,7.0,6.0,6.0,7.0,-1.0
2024-04-29,-1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,8.0,8.0,7.0,7.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,0.0,-1.0
2024-04-28,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,11.0,10.0,10.0,9.0,0.0,0.0,20.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,11.0,-1.0
2024-04-27,-1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,9.0,8.0,8.0,7.0,0.0,0.0,8.0,10.0,0.0,0.0,7.0,6.0,5.0,5.0,4.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,-1.0
2024-04-26,-1.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,0.0,0.0,1.0,6.0,6.0,6.0,6.0,6.0,6.0,2.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,5.0,5.0,5.0,5.0,0.0,0.0,8.0,2.0,0.0,0.0,2.0,2.0,4.0,4.0,7.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-1.0
2024-04-25,-1.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,10.0,10.0,18.0,19.0,19.0,19.0,10.0,11.0,11.0,0.0,0.0,12.0,11.0,10.0,9.0,0.0,0.0,11.0,10.0,10.0,12.0,0.0,0.0,11.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,-1.0,4.0,3.0,0.0,0.0,0.0,0.0
2024-04-24,-1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,2.0,4.0,1.0,1.0,2.0,0.0,0.0,3.0,3.0,3.0,1.0,0.0,0.0,8.0,7.0,8.0,7.0,0.0,0.0,8.0,1.0,0.0,0.0,16.0,15.0,14.0,14.0,14.0,7.0,10.0,10.0,0.0,0.0,9.0,7.0,8.0,-1.0,8.0,7.0,0.0,0.0,0.0,0.0
2024-04-23,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,4.0,4.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14.0,13.0,13.0,13.0,0.0,0.0,15.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,9.0,24.0,24.0,-1.0,-1.0,16.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0
2024-04-22,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,2.0,0.0,0.0,3.0,2.0,4.0,3.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,7.0,-1.0,9.0,8.0,0.0,0.0,0.0,0.0
2024-04-20,-1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,-1.0,2.0,3.0,0.0,0.0,0.0,0.0
2024-04-19,-1.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,2.0,0.0,0.0,1.0,2.0,1.0,-1.0,2.0,3.0,0.0,0.0,0.0,0.0
2024-04-18,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0
2024-04-17,-1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,4.0,4.0,4.0,0.0,0.0,4.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,18.0,17.0,18.0,18.0,18.0,12.0,12.0,11.0,0.0,0.0,11.0,10.0,11.0,-1.0,10.0,9.0,0.0,0.0,0.0,0.0
2024-04-16,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,4.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,4.0,0.0,0.0,4.0,3.0,2.0,1.0,0.0,0.0,3.0,3.0,4.0,4.0,0.0,0.0,14.0,3.0,0.0,0.0,4.0,3.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.0,0.0,2.0,0.0,0.0,0.0,0.0
2024-04-15,-1.0,1.0,0.0,0.0,11.0,11.0,11.0,11.0,8.0,5.0,6.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,2.0,2.0,0.0,0.0,3.0,4.0,3.0,1.0,0.0,0.0,6.0,5.0,8.0,7.0,0.0,0.0,8.0,3.0,0.0,0.0,3.0,3.0,2.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,-1.0,5.0,4.0,0.0,0.0,0.0,0.0
2024-04-14,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0
2024-04-13,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0
2024-04-12,-1.0,2.0,2.0,2.0,1.0,4.0,4.0,4.0,6.0,6.0,7.0,7.0,5.0,6.0,5.0,5.0,6.0,2.0,2.0,2.0,0.0,0.0,4.0,3.0,3.0,3.0,0.0,0.0,4.0,3.0,3.0,3.0,0.0,0.0,13.0,13.0,0.0,0.0,4.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-1.0,4.0,4.0,0.0,0.0,0.0,0.0
2024-04-11,-1.0,1.0,1.0,1.0,0.0,0.0,2.0,3.0,0.0,1.0,3.0,1.0,2.0,3.0,2.0,3.0,3.0,3.0,4.0,4.0,0.0,0.0,6.0,6.0,4.0,3.0,0.0,0.0,5.0,4.0,5.0,7.0,0.0,0.0,9.0,4.0,0.0,0.0,4.0,4.0,2.0,3.0,3.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,-1.0,3.0,3.0,0.0,0.0,0.0,0.0
2024-04-10,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,8.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,16.0,16.0,15.0,15.0,16.0,8.0,11.0,10.0,0.0,0.0,11.0,9.0,12.0,-1.0,9.0,8.0,0.0,0.0,0.0,0.0
2024-04-09,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0
2024-04-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-07,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-06,-1.0,1.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
