date,Dortmund_Hbf.in,Dortmund_Hbf.out,Bochum_Hbf.in,Bochum_Hbf.out,Essen_Hbf.in,Essen_Hbf.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Köln_Messe/Deutz_Gl.11-12.in,Köln_Messe/Deutz_Gl.11-12.out,Esslingen(Neckar).in,Esslingen(Neckar).out,Siegburg/Bonn.in,Siegburg/Bonn.out,Montabaur.in,Montabaur.out,Limburg_Süd.in,Limburg_Süd.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Heidelberg_Hbf.in,Heidelberg_Hbf.out,Mannheim_Hbf.in,Mannheim_Hbf.out,Stuttgart_Hbf.in,Stuttgart_Hbf.out,Ulm_Hbf.in,Ulm_Hbf.out,Augsburg_Hbf.in,Augsburg_Hbf.out,München-Pasing.in,München-Pasing.out,München_Hbf.in,München_Hbf.out
2024-05-11,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,7.0,6.0,8.0,9.0,9.0,8.0,8.0,16.0,15.0,15.0,-1.0
2024-05-10,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,2.0,3.0,7.0,8.0,7.0,6.0,4.0,4.0,4.0,-1.0
2024-05-09,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,3.0,3.0,0.0,-1.0,1.0,-1.0
2024-05-08,-1.0,3.0,0.0,0.0,0.0,-1.0,1.0,3.0,3.0,3.0,2.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,19.0,19.0,24.0,28.0,28.0,29.0,31.0,29.0,27.0,26.0,26.0,-1.0
2024-05-07,-1.0,9.0,7.0,7.0,6.0,6.0,4.0,6.0,8.0,5.0,6.0,7.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,3.0,3.0,2.0,3.0,9.0,10.0,27.0,36.0,-1.0,-1.0,161.0,-1.0
2024-05-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-04,-1.0,6.0,2.0,2.0,0.0,1.0,1.0,3.0,3.0,1.0,3.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,16.0,34.0,30.0,33.0,34.0,34.0,36.0,36.0,34.0,34.0,34.0,-1.0
2024-05-03,-1.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,8.0,0.0,0.0,15.0,15.0,13.0,12.0,11.0,12.0,14.0,13.0,11.0,10.0,10.0,-1.0
2024-05-02,-1.0,3.0,1.0,1.0,0.0,-1.0,0.0,2.0,3.0,1.0,3.0,3.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,5.0,3.0,3.0,4.0,10.0,5.0,5.0,2.0,2.0,1.0,-1.0
2024-05-01,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,2.0,3.0,1.0,2.0,0.0,0.0,0.0,-1.0,-1.0,-1.0
2024-04-30,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,0.0,0.0,4.0,5.0,2.0,4.0,4.0,4.0,9.0,9.0,11.0,11.0,11.0,-1.0
2024-04-29,-1.0,2.0,0.0,0.0,0.0,-1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,3.0,15.0,15.0,14.0,15.0,20.0,20.0,17.0,16.0,18.0,-1.0
2024-04-28,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-27,-1.0,12.0,8.0,8.0,6.0,7.0,7.0,8.0,17.0,15.0,12.0,20.0,0.0,0.0,19.0,40.0,0.0,0.0,0.0,0.0,36.0,49.0,0.0,0.0,50.0,69.0,69.0,72.0,76.0,77.0,83.0,86.0,87.0,85.0,87.0,-1.0
2024-04-26,-1.0,10.0,-1.0,-1.0,37.0,37.0,36.0,38.0,39.0,37.0,35.0,39.0,0.0,0.0,37.0,37.0,0.0,0.0,0.0,0.0,31.0,31.0,0.0,0.0,31.0,31.0,28.0,32.0,40.0,40.0,37.0,37.0,40.0,39.0,39.0,-1.0
2024-04-25,-1.0,3.0,1.0,1.0,1.0,1.0,0.0,3.0,3.0,0.0,3.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,10.0,6.0,5.0,3.0,3.0,4.0,5.0,3.0,3.0,3.0,-1.0
2024-04-24,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,3.0,5.0,2.0,2.0,1.0,2.0,5.0,4.0,4.0,-1.0
2024-04-23,-1.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,3.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,13.0,12.0,20.0,22.0,24.0,24.0,25.0,27.0,36.0,35.0,35.0,-1.0
2024-04-22,-1.0,4.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,1.0,2.0,3.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,1.0,0.0,1.0,0.0,9.0,13.0,13.0,13.0,-1.0
2024-04-21,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-20,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,12.0,10.0,10.0,0.0,0.0,8.0,7.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,10.0,9.0,9.0,9.0,6.0,7.0,5.0,5.0,8.0,8.0,11.0,-1.0
2024-04-19,-1.0,6.0,4.0,4.0,3.0,3.0,2.0,3.0,2.0,0.0,2.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,31.0,40.0,36.0,35.0,34.0,35.0,31.0,32.0,51.0,-1.0,0.0,0.0
2024-04-17,-1.0,3.0,1.0,1.0,5.0,5.0,4.0,6.0,6.0,4.0,5.0,6.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,6.0,5.0,10.0,9.0,14.0,14.0,22.0,25.0,24.0,-1.0,0.0,0.0
2024-04-16,-1.0,1.0,0.0,0.0,0.0,-1.0,1.0,3.0,2.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,11.0,7.0,7.0,9.0,9.0,12.0,13.0,11.0,-1.0,0.0,0.0
2024-04-15,-1.0,2.0,0.0,1.0,1.0,1.0,2.0,4.0,12.0,9.0,6.0,7.0,0.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,0.0,1.0,1.0,-1.0,0.0,0.0
2024-04-14,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-13,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,4.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,8.0,8.0,5.0,6.0,3.0,3.0,1.0,1.0,10.0,8.0,10.0,-1.0
2024-04-12,-1.0,5.0,1.0,2.0,4.0,4.0,3.0,4.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,4.0,0.0,1.0,3.0,4.0,3.0,4.0,2.0,1.0,1.0,-1.0
2024-04-11,-1.0,4.0,5.0,5.0,6.0,6.0,4.0,22.0,20.0,16.0,14.0,14.0,0.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,9.0,8.0,0.0,0.0,13.0,13.0,8.0,7.0,8.0,8.0,4.0,4.0,2.0,2.0,1.0,-1.0
2024-04-10,-1.0,1.0,0.0,0.0,0.0,2.0,3.0,4.0,2.0,0.0,1.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,4.0,5.0,5.0,5.0,2.0,4.0,3.0,3.0,3.0,-1.0
2024-04-09,-1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,6.0,4.0,7.0,6.0,6.0,2.0,3.0,2.0,1.0,1.0,-1.0
2024-04-08,-1.0,1.0,0.0,0.0,0.0,-1.0,1.0,3.0,6.0,5.0,5.0,6.0,0.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,3.0,2.0,3.0,1.0,2.0,0.0,1.0,1.0,1.0,3.0,-1.0
2024-04-07,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-06,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,16.0,15.0,18.0,19.0,16.0,17.0,0.0,0.0,13.0,-1.0
2024-04-05,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,5.0,5.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,7.0,-1.0
2024-04-04,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,5.0,0.0,0.0,6.0,6.0,6.0,6.0,5.0,4.0,4.0,-1.0
2024-04-03,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,11.0,0.0,0.0,5.0,5.0,1.0,1.0,1.0,1.0,2.0,-1.0
2024-04-02,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,7.0,7.0,5.0,5.0,3.0,2.0,2.0,-1.0
