date,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Köln_Messe/Deutz_Gl.11-12.in,Köln_Messe/Deutz_Gl.11-12.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Nürnberg_Hbf.in,Nürnberg_Hbf.out,München_Hbf.in,München_Hbf.out
2024-05-30,-1.0,0.0,0.0,1.0,0.0,1.0,15.0,16.0,23.0,-1.0
2024-05-29,-1.0,4.0,3.0,3.0,4.0,4.0,12.0,13.0,14.0,-1.0
2024-05-28,-1.0,4.0,3.0,3.0,8.0,8.0,13.0,14.0,20.0,-1.0
2024-05-27,-1.0,0.0,6.0,6.0,2.0,3.0,8.0,9.0,15.0,-1.0
2024-05-24,-1.0,1.0,0.0,1.0,1.0,1.0,14.0,14.0,22.0,-1.0
2024-05-23,-1.0,0.0,0.0,1.0,2.0,2.0,11.0,10.0,14.0,-1.0
2024-05-22,-1.0,1.0,0.0,1.0,0.0,1.0,4.0,5.0,2.0,-1.0
2024-05-21,-1.0,3.0,3.0,5.0,3.0,3.0,7.0,7.0,7.0,-1.0
2024-05-20,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
2024-05-17,-1.0,3.0,2.0,3.0,2.0,1.0,22.0,22.0,26.0,-1.0
2024-05-16,-1.0,1.0,5.0,5.0,3.0,3.0,11.0,12.0,18.0,-1.0
2024-05-15,-1.0,2.0,1.0,2.0,1.0,1.0,15.0,16.0,20.0,-1.0
2024-05-14,-1.0,2.0,3.0,4.0,1.0,3.0,9.0,10.0,27.0,-1.0
2024-05-13,-1.0,3.0,31.0,36.0,37.0,37.0,42.0,43.0,49.0,-1.0
2024-05-12,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
2024-05-10,-1.0,3.0,3.0,2.0,6.0,7.0,11.0,11.0,13.0,-1.0
2024-05-09,-1.0,0.0,0.0,1.0,0.0,1.0,10.0,10.0,10.0,-1.0
2024-05-08,-1.0,0.0,0.0,1.0,4.0,5.0,14.0,15.0,10.0,-1.0
2024-05-07,-1.0,0.0,4.0,4.0,2.0,2.0,7.0,7.0,9.0,-1.0
2024-05-06,-1.0,2.0,3.0,3.0,1.0,1.0,20.0,20.0,23.0,-1.0
2024-05-03,-1.0,1.0,3.0,3.0,4.0,4.0,15.0,15.0,25.0,-1.0
2024-05-02,-1.0,1.0,1.0,2.0,2.0,3.0,4.0,5.0,5.0,-1.0
2024-05-01,-1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,-1.0
2024-04-30,-1.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,-1.0
2024-04-29,-1.0,11.0,12.0,13.0,12.0,12.0,7.0,6.0,8.0,-1.0
2024-04-26,-1.0,0.0,2.0,3.0,2.0,2.0,4.0,8.0,6.0,-1.0
2024-04-25,-1.0,3.0,3.0,3.0,11.0,11.0,20.0,21.0,27.0,-1.0
2024-04-24,-1.0,5.0,4.0,4.0,1.0,2.0,19.0,20.0,30.0,-1.0
2024-04-23,-1.0,0.0,0.0,2.0,14.0,15.0,14.0,15.0,12.0,-1.0
2024-04-22,-1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,7.0,-1.0
2024-04-21,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
2024-04-19,-1.0,0.0,3.0,4.0,1.0,1.0,30.0,31.0,29.0,-1.0
2024-04-17,-1.0,1.0,-1.0,-1.0,111.0,111.0,119.0,118.0,127.0,-1.0
2024-04-16,-1.0,4.0,3.0,4.0,3.0,4.0,19.0,20.0,22.0,-1.0
2024-04-15,-1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,-1.0
2024-04-14,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
2024-04-12,-1.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,2.0,-1.0
2024-04-11,-1.0,1.0,1.0,1.0,2.0,1.0,32.0,32.0,53.0,-1.0
2024-04-10,-1.0,3.0,3.0,5.0,3.0,3.0,44.0,44.0,51.0,-1.0
2024-04-09,-1.0,1.0,2.0,2.0,2.0,6.0,41.0,41.0,39.0,-1.0
2024-04-08,-1.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,2.0,-1.0
2024-04-05,-1.0,6.0,6.0,6.0,4.0,4.0,9.0,9.0,8.0,-1.0
2024-04-04,-1.0,0.0,1.0,2.0,6.0,7.0,8.0,9.0,8.0,-1.0
2024-04-03,-1.0,1.0,2.0,3.0,1.0,1.0,4.0,5.0,4.0,-1.0
2024-04-02,-1.0,1.0,2.0,2.0,1.0,1.0,7.0,7.0,7.0,-1.0
2024-04-01,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
