date,München_Hbf.in,München_Hbf.out,München-Pasing.in,München-Pasing.out,Augsburg_Hbf.in,Augsburg_Hbf.out,Ulm_Hbf.in,Ulm_Hbf.out,Esslingen(Neckar).in,Esslingen(Neckar).out,Stuttgart_Hbf.in,Stuttgart_Hbf.out,Bruchsal.in,Bruchsal.out,Karlsruhe-Durlach.in,Karlsruhe-Durlach.out,Karlsruhe_Hbf.in,Karlsruhe_Hbf.out
2024-04-21,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
2024-04-20,-1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,2.0,0.0,0.0,1.0,-1.0,0.0,0.0
2024-04-19,-1.0,1.0,0.0,0.0,7.0,6.0,3.0,3.0,0.0,0.0,2.0,1.0,4.0,4.0,2.0,22.0,22.0,-1.0
2024-04-18,-1.0,1.0,-1.0,1.0,4.0,5.0,3.0,3.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,-1.0,0.0,0.0
2024-04-17,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,8.0,13.0,-1.0,0.0,0.0
2024-04-16,-1.0,3.0,3.0,4.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,-1.0
2024-04-15,-1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,0.0,-1.0,0.0,0.0
2024-04-14,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
2024-04-13,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,12.0,10.0,10.0,10.0,8.0,-1.0,0.0,0.0
2024-04-12,-1.0,3.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,-1.0,0.0,0.0
2024-04-11,-1.0,10.0,-1.0,11.0,7.0,7.0,4.0,4.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,-1.0,0.0,0.0
2024-04-10,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-1.0,0.0,0.0
2024-04-09,-1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.0,0.0,0.0
2024-04-08,-1.0,1.0,-1.0,1.0,55.0,54.0,51.0,51.0,0.0,0.0,51.0,50.0,51.0,51.0,47.0,-1.0,52.0,-1.0
2024-04-07,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
2024-04-06,-1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,-1.0,0.0,0.0
2024-04-05,-1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,2.0,-1.0
2024-04-04,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,-1.0
2024-04-02,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
